model,mase,rmsse,smape,nd,notes
LGBMRegressor,1.0861212712459651,1.0066777055006237,0.319143190434896,0.5279438144652718,cv_results
XGBRegressor,1.0829565521728564,1.0134770289535822,0.3204213017148025,0.5364926246626328,cv_results
AutoARIMA,0.9342302475063207,0.8922453111017893,0.2762406,0.47333091,cv_results
AutoETS,1.002326637801727,0.9643319530899171,0.30058777,0.49351358,cv_results
SeasonalNaive,1.4395930585351295,1.2375179044223417,0.47188717,0.6981956,cv_results
