mes,material,sku,produto,cor,tamanho,construcao,padronagem,marca,decote,detalhe,loja,centro_distribuicao,idade_loja,uf_loja,cidade_loja,regiao_loja,bairro_loja,clima_loja,perfil_loja,porte_loja,estoque_unidades_inicio,estoque_unidades_fim,estoque_unidades,estoque_unidades_mediana,prop_dias_com_estoque,venda_unidades,venda_valor_total,preco_atual,preco_original,diff_preco,etiqueta,prop_dias_com_venda,total_observacoes_vendas,pedidos,pedidos_m1,pedidos_m2,pedidos_m3,pedidos_m4,pedidos_m5,pedidos_m6,pedidos_m7,pedidos_m8,pedidos_m9,pedidos_m10,pedidos_m11,pedidos_m12
2023-10-01,e784d8380af43acf5d097c76eba528ef,a632ebc3766ed200c3f2b2b8364b177f,camiseta,branco,pp,malha,liso,9,decote v,curto,c264bef7-a258-4c2c-8585-752b97b29c16,CD2,14.0,SP,SAO PAULO,SUDESTE,CENTRO,2,2,3,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,00703d74-ba0a-4dbf-81a1-605aff02efd7,CD1,14.0,BA,BAHIA,NORDESTE,GOES CALMON,3,2,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,015fde50-aac3-4a8e-b963-8f7ee85c89f2,CD1,11.0,CE,CEARA,NORDESTE,PAPICU,3,3,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,02568ece-15d4-40d5-b05a-47069ea100e2,CD2,26.0,SP,SAO PAULO,SUDESTE,APARECIDA,2,3,4,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,02fafdd7-14d5-4a99-95c9-30cba7021e71,CD2,28.0,SP,SAO PAULO,SUDESTE,PARAISO,2,2,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,05667a35-e2d8-45af-bc0a-ecda4ad8508e,CD2,42.0,PR,PARANA,SUL,CENTRO,2,1,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,08b66e4d-42f1-4171-9bd0-db235ef765b1,CD1,12.0,AL,ALAGOAS,NORDESTE,CRUZ DAS ALMAS,3,3,1,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,092e338b-f578-4f78-ad42-3bb59a2e6639,CD2,18.0,SP,SAO PAULO,SUDESTE,PERDIZES,1,3,3,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,0a831d2a-d950-4493-b763-9f98ef08981f,CD1,12.0,PE,PERNAMBUCO,NORDESTE,PIEDADE,3,1,2,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-10-01,3bcd8d02c7f7c718f0bc246ad78eb475,dea0e93a8e1cb04761ec30b3aa5918d4,camiseta,branco,pp,circular,liso,9,sem decote,curto,0bed9287-bf43-4af7-bc67-c0f1d778c40d,CD1,12.0,AL,ALAGOAS,NORDESTE,SANTA EDWIGES,3,2,3,0.000,0.000,0E-7,0.000,0.0,0.000,0.00,,,,,0.0,31,0,0,0,0,0,0,0,0,0,0,0,0,0
